,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,clip_id,youtube_id,start_time,end_time,split,action,adverb,caption,clustered_action,clustered_adverb
27,586,4128,V59G2JApoeo_000008_000018,V59G2JApoeo,8.0,18.0,train,bend,backward,A little boy on the field bent backward and then forward again,bend,backwards
28,588,4144,68npgFAAkew_000073_000083,68npgFAAkew,73.0,83.0,train,bend,backwards,"A little girl stands up and bends her body backwards, her hands touch the floor.",bend,backwards
29,591,4159,QfKiPxghxmw_000003_000013,QfKiPxghxmw,3.0,13.0,train,bend,backwards,"A girl in a leotard bends over backwards into an arch, then drops on her back, stands up, turns around and begins another exercise",bend,backwards
30,594,4167,DLg2UU3ev1c_000008_000018,DLg2UU3ev1c,8.0,18.0,train,bend,backwards,A small boy in a green shirt bends over backwards to lie his face completely on the ground.,bend,backwards
31,598,4182,y7YjijmBEgM_000051_000061,y7YjijmBEgM,51.0,61.0,train,bend,backwards,A girl on a lawn is bent over backwards before starting a hand stand.,bend,backwards
32,600,4189,fKtgN4cOWG8_000011_000021,fKtgN4cOWG8,11.0,21.0,train,bend,backwards,A girl is sitting on the grass then she gets up and bends backwards.,bend,backwards
33,603,4196,MJNjtzrl5qk_000000_000010,MJNjtzrl5qk,0.0,10.0,train,bend,backwards,A girl is standing up and then bends backwards to do a back bend.,bend,backwards
34,604,4197,MJNjtzrl5qk_000000_000010,MJNjtzrl5qk,0.0,10.0,train,arch,backwards,"In a gym, a girl stands and arches her back backwards to also stand on her hands",bend,backwards
35,608,4205,S72rhDECjqg_000088_000098,S72rhDECjqg,88.0,98.0,train,bend,backwards,A woman in a dress is shaking her hips and bending over backwards by a puppy,bend,backwards
36,615,4225,Im-hSb7cIeE_000001_000011,Im-hSb7cIeE,1.0,11.0,train,bend,backwards,A girl bends over backwards with her back arched in the air.,bend,backwards
37,616,4226,Im-hSb7cIeE_000001_000011,Im-hSb7cIeE,1.0,11.0,train,arch,back,A girl showing she arches back and propels off the floor with her arms and legs.,bend,backwards
38,617,4233,DA8K3c4HgVo_000003_000013,DA8K3c4HgVo,3.0,13.0,train,bend,backwards,A young girl does a dance routine that includes bending backwards.,bend,backwards
39,623,4250,C7okhbC3viU_000001_000011,C7okhbC3viU,1.0,11.0,train,bend,backwards,A girl is bending over backwards trtying to touch the ground and she falls,bend,backwards
40,626,4260,PCZp6p8PCBA_000004_000014,PCZp6p8PCBA,4.0,14.0,train,bend,backwards,A young girl falls over while trying to bend over backwards.,bend,backwards
41,627,4261,HJO_qH_-eFY_000003_000013,HJO_qH_-eFY,3.0,13.0,train,bend,back,A  girl was rolling on the grass and lifting himself up a she bent her back at intervals,bend,backwards
42,639,4305,eqU1z1NRG5M_000023_000033,eqU1z1NRG5M,23.0,33.0,train,bend,carefully,A man uses a metal tool to carefully bend a piece of metal.,bend,carefully
43,311,2483,PPBLYnq4s1w_000005_000015,PPBLYnq4s1w,5.0,15.0,train,bend,forward,"Young man stands on grassy field, lifts arms, bends forward, does backflip and walks away.",bend,forwards
44,492,3599,rYnVViYbae0_000000_000010,rYnVViYbae0,0.0,10.0,train,bend,forward,A boy bent forward to view while he was making a beat box with his mouth,bend,forwards
45,609,4212,QU7V8yF0XbI_000024_000034,QU7V8yF0XbI,24.0,34.0,train,bend,forward,"A man bends forward, stands up straight, and then leans forward again.",bend,forwards
46,769,5301,NPwEvc6exnI_000002_000012,NPwEvc6exnI,2.0,12.0,train,bend,forward,A girl bent forward to blow out the light off the candle and the candles on the other cake was lighted,bend,forwards
47,1767,12387,tPj4Y9TP1dg_000006_000016,tPj4Y9TP1dg,6.0,16.0,train,bend,forward,A kid is seen bending forward while he moves his mouth in a repeated chewing motion.,bend,forwards
48,2300,15249,-2HFZjPOCMk_000232_000242,-2HFZjPOCMk,232.0,242.0,train,bend,forward,"A man hodls to metal spherical balls in his outstretched hands, he bends forward and places them on the ground.",bend,forwards
49,2570,16808,hhsM_A14oWA_000019_000029,hhsM_A14oWA,19.0,29.0,train,bend,forward,A man in a ball cap bending his neck forward and back to show loosening up exercises.,bend,forwards
50,2881,18922,TGbudmrQs3U_000130_000140,TGbudmrQs3U,130.0,140.0,train,bend,forward,"A group of young womenin costumes sit on exercise mats and move in time to music, then stand bending forward, straighten and twirl one way, then the other",bend,forwards
51,3172,21459,UFdTtL9tSSY_000034_000044,UFdTtL9tSSY,34.0,44.0,train,bend,forward,Basketball player bends forward and bounces ball behind him from one side to the other.,bend,forwards
52,3617,24333,vtVtfv6mVOc_000000_000010,vtVtfv6mVOc,0.0,10.0,train,bend,forward,A woman is bending over forward with one hand on an exercise ball while lifting the other hand.,bend,forwards
53,3618,24337,52fJtnaeKZg_000000_000010,52fJtnaeKZg,0.0,10.0,train,bend,forward,A man with palms on the grass and feet on top of an exercise ball bends forward at the waist.,bend,forwards
54,3682,24700,HeO5_Y8CqN0_000000_000010,HeO5_Y8CqN0,0.0,10.0,train,bend,forward,"A girl does a handstand on a garden lawn and a second girl catches her feet, turns and pulls them over her shoulders, bends forward hard, and flips the first girl over flat onto the ground",bend,forwards
55,4340,28892,aIx8WtRuU0A_000028_000038,aIx8WtRuU0A,28.0,38.0,train,bend,forward,"Golfer bends forward, hits ball, watches ball roll and sees ball go into hole.",bend,forwards
56,4401,29196,_2RnMw6XXDw_000000_000010,_2RnMw6XXDw,0.0,10.0,train,bend,forward,A woman is commentating on how to hold a golf club as she bends forward to practise a putt.,bend,forwards
57,4654,30761,ZhDdQmHIM78_000044_000054,ZhDdQmHIM78,44.0,54.0,train,bend,forward,"A man bends forward and head bangs to rock music, whipping his hair back and forth.",bend,forwards
58,4761,31305,vqlEmoU03Jk_000173_000183,vqlEmoU03Jk,173.0,183.0,train,bend,forward,"Dancers change formation as they kick their legs, jump, bend forward, lean back and lie on floor.",bend,forwards
59,6177,40024,C_WMx0nlC58_000004_000014,C_WMx0nlC58,4.0,14.0,train,bend,forward,"A man bends forward, raises his arms, and does squats.",bend,forwards
60,6185,40052,88Pn2XV4Z9Y_000004_000014,88Pn2XV4Z9Y,4.0,14.0,train,bend,forward,A man is bending down forward and touching his toes for a stretch,bend,forwards
61,6417,42205,GriF7tGZeuY_000509_000519,GriF7tGZeuY,509.0,519.0,train,bend,forward,A woman sits and bends forward as another person gently massages her back,bend,forwards
62,6768,44206,g8Shp9HRTow_000174_000184,g8Shp9HRTow,174.0,184.0,train,bend,forward,"Two people stand in front of a green screen one whispers, the other starts talking then both start laughing and one bends forward.",bend,forwards
63,6969,45657,SkAh2NCpNbM_000000_000010,SkAh2NCpNbM,0.0,10.0,train,bend,forward,A boy bending forward jumped over multiple stairs at once,bend,forwards
64,3772,25212,N516jor-Y5I_000003_000013,N516jor-Y5I,3.0,13.0,train,bend,sideways,"A person sat on a chair, bent sideways and fell off.",bend,horizontally
65,3775,25218,uZXgcNUuJI4_000000_000010,uZXgcNUuJI4,0.0,10.0,train,bend,sideways,A boy had his chair bent sideways and he fell off it,bend,horizontally
66,612,4218,QU7V8yF0XbI_000024_000034,QU7V8yF0XbI,24.0,34.0,train,bend,inside,The man was stretching by bending over inside of a gym.,bend,indoor
67,53,270,Pb-uJ_wSK_0_000037_000047,Pb-uJ_wSK_0,37.0,47.0,train,bend,out,A person bending their glasses way out and than folding them back.,bend,out
68,640,4316,NYPx8fE0w00_000024_000034,NYPx8fE0w00,24.0,34.0,train,bend,outdoors,"A man bends an iron bar a couple times while outdoors, near a construction site.",bend,outdoor
69,9968,64800,aSI78-XyBtI_000056_000066,aSI78-XyBtI,56.0,66.0,train,bend,outside,A man is bending outside while polishing his black shoes.,bend,outdoor
70,2315,15312,4skDrzkR1hw_000288_000298,4skDrzkR1hw,288.0,298.0,train,bend,upward,A lady lied on her chest and legs bent upward and down to her head and the stood up,bend,upwards
71,8797,57147,hxnVOIKf8C0_000017_000027,hxnVOIKf8C0,17.0,27.0,train,bend,up,Teenager boys having fun with a friend's eyelids bending up,bend,upwards
72,8800,57160,4suZ6WUixMI_000075_000085,4suZ6WUixMI,75.0,85.0,train,blink,rapidly,A girl rapidly blinks both eyes trying to put in a contact lens.,blink,quickly
73,8856,57677,vik99Wsgr-w_000004_000014,vik99Wsgr-w,4.0,14.0,train,blink,rapidly,"Man with hairy arms unscrews small bottle, applies mascara to eyes with a wand and blinks rapidly.",blink,quickly
74,8865,57734,62ycGEmdtvA_000040_000050,62ycGEmdtvA,40.0,50.0,train,blink,rapidly,A lady holding a dirty mirror puts on mascara by blinking rapidly.,blink,quickly
75,8936,58341,zDjhldihJUA_000286_000296,zDjhldihJUA,286.0,296.0,train,blink,slowly,"Woman turns face to side, blinks slowly, lowers hand from hair, speaks, and looks down.",blink,slowly
76,709,4765,fNP5UTB_Mjw_000000_000010,fNP5UTB_Mjw,0.0,10.0,train,inhale,back,"A young girl is blowing  a bubble with chewing gum in her mouth, then the bubble burst and she inhales the gum back into her mouth.",breathe,backwards
77,725,4890,wvw2KWwrNKg_000149_000159,wvw2KWwrNKg,149.0,159.0,train,blow,carefully,A man carefully blows and shapes a piece of molten glass and forms it into a diamond shape.,breathe,carefully
78,6213,40566,zt-lE6n298s_000022_000032,zt-lE6n298s,22.0,32.0,train,blow,carefully,A boy is carefully blowing a very large bubble that des not pop.,breathe,carefully
79,731,4999,gQ1xn3JqPKw_000004_000014,gQ1xn3JqPKw,4.0,14.0,train,blow,haphazardly,A young boy haphazardly blows leaves around with a small leaf blower.,breathe,carelessly
80,167,1147,9cgYs-D4toM_000038_000048,9cgYs-D4toM,38.0,48.0,train,blow,hard,People are digging under a canopy while the wind is blowing hard.,breathe,firmly
81,545,3974,sWZbzy3tjj4_000000_000010,sWZbzy3tjj4,0.0,10.0,train,breathe,hard,Exerciser laying under barbell machine pushes up while breathing hard and gritting teeth.,breathe,firmly
82,756,5174,p1SHXhx9dug_000002_000012,p1SHXhx9dug,2.0,12.0,train,blow,hard,a girl blows her nose very hard into a napkin she has,breathe,firmly
83,761,5232,2p1-q5R2D9w_000004_000014,2p1-q5R2D9w,4.0,14.0,train,blow,hard,A woman is blowing her nose hard and making everyone laugh.,breathe,firmly
84,763,5242,EBgNUIKHtQc_000003_000013,EBgNUIKHtQc,3.0,13.0,train,blow,firmly,A sickly woman in a grey hoodie is sitting at a desk and firmly blowing her nose into a tissue.,breathe,firmly
85,2000,13775,cTqP4DDJWIw_000021_000031,cTqP4DDJWIw,21.0,31.0,train,breathe,heavily,A woman breathing heavily as she tries to lift very heavy weights.,breathe,firmly
86,3547,23846,HM9BP-QR8xk_000061_000071,HM9BP-QR8xk,61.0,71.0,train,breathe,heavily,A boy is eating hotdogs and spaghetti while breathing heavily.,breathe,firmly
87,4296,28439,sK6kXXA67Rs_000072_000082,sK6kXXA67Rs,72.0,82.0,train,breathe,hard,A lady is breathing hard while another one is doing a piercing on her ear.,breathe,firmly
88,4873,31815,FRJRyeqonvI_000011_000021,FRJRyeqonvI,11.0,21.0,train,breath,heavily,"Professional hockey players breath heavily, skate by rink edge, sway from side to side, and look up, down or ahead.",breathe,firmly
89,5777,37097,KOOfe61BIyE_000023_000033,KOOfe61BIyE,23.0,33.0,train,blow,hard,"The wind blows so hard it lifts a Man flying a kite off his feet, then men are on surfboards as they hold kites.",breathe,firmly
90,6234,40664,p9eFwC-otis_000013_000023,p9eFwC-otis,13.0,23.0,train,blow,hard,A young toddler plays with bubbles by blowing them really hard.,breathe,firmly
91,6313,41398,BGlsCmw_49Q_000197_000207,BGlsCmw_49Q,197.0,207.0,train,breathe,heavily,A woman is building a snowman and putting eyes on it while breathing heavily.,breathe,firmly
92,7478,49155,0rnJX3pe3nY_000011_000021,0rnJX3pe3nY,11.0,21.0,train,breathe,heavily,A man in a grey shirt breathes heavily while playing chess with another person.,breathe,firmly
93,8041,52378,601nguLJ_lA_000225_000235,601nguLJ_lA,225.0,235.0,train,breathe,hard,A man is breathing hard as he approaches farm equipment.,breathe,firmly
94,9015,59014,YNFv8ocICMo_000039_000049,YNFv8ocICMo,39.0,49.0,train,breathe,heavily,A person is sitting on their mountain bike and is breathing heavily.,breathe,firmly
95,10788,69854,L2w-vJXDePo_000056_000066,L2w-vJXDePo,56.0,66.0,train,breathe,heavily,A person breathes heavily as they use a ski as an anchor while climbing a snow covered slope,breathe,firmly
96,9233,59946,7tdaq2MN0jg_000000_000010,7tdaq2MN0jg,0.0,10.0,train,blow,forward,A man operating a tractor with a snow blowing attachment uses it to blow snow forward.,breathe,forwards
97,3204,21689,cSEVIgaFYO0_000217_000227,cSEVIgaFYO0,217.0,227.0,train,cough,violently,Two males are sitting at a table drinking tabasco shots and one starts coughing violently while an unseen male laughs.,breathe,gently
98,10692,69139,ElKBF7RrG1A_000004_000014,ElKBF7RrG1A,4.0,14.0,train,cough,violently,A man takes a puff from a cigarette and starts to cough violently.,breathe,gently
99,489,3587,CNy2f7f_gxg_000081_000091,CNy2f7f_gxg,81.0,91.0,train,puff,in,"A younger teen is in a gym, puffing his cheeks in and out.",breathe,in
100,2521,16541,ARjlPoijH_s_000000_000010,ARjlPoijH_s,0.0,10.0,train,breathe,in,A man tells a woman to breathe in and out as he presses down on her spine.,breathe,in
101,2528,16580,2-vmqiRzJlg_000025_000035,2-vmqiRzJlg,25.0,35.0,train,breathe,in,A girl lies on her stomach on the floor and breathes in and out while another girls applies pressure to her back and spine.,breathe,in
102,5260,34060,KDwnc2_a1UI_000016_000026,KDwnc2_a1UI,16.0,26.0,train,blow,in,A kid blowing in to a hand glove standing up and turning to the side.,breathe,in
103,7599,49914,Z-N4pSXIEl0_000000_000010,Z-N4pSXIEl0,0.0,10.0,train,blow,in,A man blows in a large culled out tree limb and makes sounds.,breathe,in
104,7603,49935,M1saYOCLeIc_000171_000181,M1saYOCLeIc,171.0,181.0,train,blow,in,A man sitting in a room blowing in to a long tube making drumming noises.,breathe,in
105,759,5186,WJyZW9V2KEA_000028_000038,WJyZW9V2KEA,28.0,38.0,train,blow,inside,"A young girl walks up to a toilet paper roll inside of a bathroom, she then blows her nose inside of the roll and tosses the paper.",breathe,indoor
106,4913,32034,o7kcSOrVjwc_000029_000039,o7kcSOrVjwc,29.0,39.0,train,blow,inside,A person is using a machine to blow seeds around inside of it.,breathe,indoor
107,5250,34009,BB4ItNQ8szQ_000047_000057,BB4ItNQ8szQ,47.0,57.0,train,blow,indoors,A blonde haired boy is blowing up a yellow balloon indoors,breathe,indoor
108,5258,34042,nEX48o7KXsc_000011_000021,nEX48o7KXsc,11.0,21.0,train,blow,indoors,A man blows up an enormous balloon indoors while wearing a hat and sunglasses.,breathe,indoor
109,6215,40578,YZx_c-K98rc_000003_000013,YZx_c-K98rc,3.0,13.0,train,blow,indoors,A girl is blowing bubbles with a bubble wand indoors.,breathe,indoor
110,534,3916,h1MHuVav1kU_000021_000031,h1MHuVav1kU,21.0,31.0,train,breathe,loudly,A man with a back brace is lifting and breathing loudly while bench pressing weights.,breathe,loudly
111,753,5110,SUop-aJn8Do_000000_000010,SUop-aJn8Do,0.0,10.0,train,blow,loudly,Two men are talking and one of them loudly blows his nose.,breathe,loudly
112,757,5175,p1SHXhx9dug_000002_000012,p1SHXhx9dug,2.0,12.0,train,blow,loudly,A woman is blowing her nose loudly into a tissue.,breathe,loudly
113,762,5233,2p1-q5R2D9w_000004_000014,2p1-q5R2D9w,4.0,14.0,train,blow,loudly,A group of women are sharing laughs while one woman loudly blows her nose.,breathe,loudly
114,1261,8657,99ST7L5QKYA_000055_000065,99ST7L5QKYA,55.0,65.0,train,belch,loudly,A guy demonstrates belching really loudly followed by kids' laughter.,breathe,loudly
115,1262,8682,F-uyRkAsfbA_000016_000026,F-uyRkAsfbA,16.0,26.0,train,belch,loudly,a young teenage girl sets up and proceeds to belch loudly and then laugh,breathe,loudly
116,1263,8698,GD0uGjlVqF0_000005_000015,GD0uGjlVqF0,5.0,15.0,train,breath,loudly,A boy swings his arms and breaths out loudly as he stands in front of a television.,breathe,loudly
117,1265,8717,MM3SjgD95ro_000024_000034,MM3SjgD95ro,24.0,34.0,train,belch,loudly,A young man belches loudly a couple of times for fun.,breathe,loudly
118,1266,8720,BFbmt9ApByA_000000_000010,BFbmt9ApByA,0.0,10.0,train,belch,loudly,A young girl belches loudly and then smiles and laughs.,breathe,loudly
119,1272,8809,Zz8J5Cn9meQ_000000_000010,Zz8J5Cn9meQ,0.0,10.0,train,belch,loudly,"An elderly woman drinks soda, and then belches loudly and laughs.",breathe,loudly
120,2519,16524,yWo0uqyuY38_000007_000017,yWo0uqyuY38,7.0,17.0,train,exhale,loudly,A man spins round on a chair then loudly exhales.,breathe,loudly
121,6916,45341,F1mIQNOHb60_000030_000040,F1mIQNOHb60,30.0,40.0,train,blow,loudly,A person sky dives near a large hill as the wind blows loudly.,breathe,loudly
122,7790,50885,Db2DqC1u578_000062_000072,Db2DqC1u578,62.0,72.0,train,blow,loudly,A man is seen loudly blowing the instrument covered with his hands at a large gathering.,breathe,loudly
123,8239,53906,kWTjg1dMQJs_000108_000118,kWTjg1dMQJs,108.0,118.0,train,blow,loudly,A man plays a trombone in front of a crowd and then blows loudly into it.,breathe,loudly
124,10645,68854,eBE-StRG6-k_000014_000024,eBE-StRG6-k,14.0,24.0,train,exhale,out,A man is puffing on a device and exhaling smoke out through his nostrils.,breathe,out
125,10648,68860,QFvyRqBPAV0_000043_000053,QFvyRqBPAV0,43.0,53.0,train,blow,out,"A woman blows smoke into another woman's mouth from a hookah, and the other woman blows the smoke back out.",breathe,out
126,10650,68875,dME3KIYr_dc_000001_000011,dME3KIYr_dc,1.0,11.0,train,blow,out,A man breathes in smoke out of a hose and then blows it back out.,breathe,out
127,736,5022,WbESwfOxscA_000192_000202,WbESwfOxscA,192.0,202.0,train,blow,outside,Two men are blowing leaves outside in the large yard.,breathe,outdoor
128,743,5061,jAX6Mno_l-U_000000_000010,jAX6Mno_l-U,0.0,10.0,train,blow,outside,A young boy is holding a leaf blower and blowing leaves outside in the sunlight.,breathe,outdoor
129,1022,7107,t1mGBWDehcw_000011_000021,t1mGBWDehcw,11.0,21.0,train,blow,outside,A man takes a drink and then blows fire outside.,breathe,outdoor
130,1023,7114,fbc43vopEDg_000000_000010,fbc43vopEDg,0.0,10.0,train,breathe,outside,A man is breathing fire outside in the dark.,breathe,outdoor
131,1036,7184,kuV1-XGgPXU_000000_000010,kuV1-XGgPXU,0.0,10.0,train,blow,outside,A kid blows animated fire outside of his mouth for the duration of the video.,breathe,outdoor
132,1040,7213,8ATdAqS-uMQ_000000_000010,8ATdAqS-uMQ,0.0,10.0,train,blow,outside,A man is blowing fire outside while people cheer him on.,breathe,outdoor
133,1044,7237,dSJJrVGFrWE_000070_000080,dSJJrVGFrWE,70.0,80.0,train,blow,outside,Outside at night a male with a lit torch blow liquid onto the torch to cause a big flame.,breathe,outdoor
134,6219,40603,5QhYBAz8-3E_000003_000013,5QhYBAz8-3E,3.0,13.0,train,blow,outside,A person blows a large white balloon outside.,breathe,outdoor
135,6223,40621,Qe8ehzy0cGE_000058_000068,Qe8ehzy0cGE,58.0,68.0,train,blow,outside,A child is watch a lot of bubbles blow by her outside while a woman is talking in the background.,breathe,outdoor
136,6226,40635,CarYj3eMiJw_000000_000010,CarYj3eMiJw,0.0,10.0,train,blow,outside,A lady is outside and blowing some bubbles while people walk by.,breathe,outdoor
137,6227,40641,FsyZ2R7HqY4_000000_000010,FsyZ2R7HqY4,0.0,10.0,train,blow,outside,A young man blows a bubble filled with smoke outside while people off-camera converse in Portuguese.,breathe,outdoor
138,336,2748,DGhCE3xIfOg_000085_000095,DGhCE3xIfOg,85.0,95.0,train,breath,properly,Someone is securing a white face mask on another person so that they can't see properly or breath properly in what some might call fun.,breathe,properly
139,768,5296,D5phX4TjAbs_000023_000033,D5phX4TjAbs,23.0,33.0,train,blow,successfully,A toddler is cheered by those around him as he successfully blows out candles on a cake.,breathe,properly
140,748,5090,xRQLk4XeZ34_000000_000010,xRQLk4XeZ34,0.0,10.0,train,blow,quickly,A man is blowing a lots of dry leaves very quickly.,breathe,quickly
141,766,5278,9IzWImcF3hM_000032_000042,9IzWImcF3hM,32.0,42.0,train,blow,quickly,"A little girl attempts to blow out two candles, she blows the first one out quickly but tries a few more times to blow the second one out before she is successful.",breathe,quickly
142,4222,27902,feTWuKPZA_k_000030_000040,feTWuKPZA_k,30.0,40.0,train,exhale,quickly,"At the gym, a man exhales quickly before lifting a heavy weight a few times.",breathe,quickly
143,5252,34019,_u0w-iXGYOw_000001_000011,_u0w-iXGYOw,1.0,11.0,train,blow,quick,A man and women compete to see who can blow up a balloon the quickest.,breathe,quickly
144,715,4806,60vANc3xmes_000068_000078,60vANc3xmes,68.0,78.0,train,blow,slowly,A man slowly blows a large bubble and then collapses it into his mouth.,breathe,slowly
145,719,4849,UI18lCX8nKk_000000_000010,UI18lCX8nKk,0.0,10.0,train,blow,slowly,A young girl slowly blows a bubble with bubble gum and the bubble pops.,breathe,slowly
146,721,4866,FNMGjKKhR0g_000000_000010,FNMGjKKhR0g,0.0,10.0,train,blow,slowly,A woman is slowly blowing a bubble gum bubble until it bursts.,breathe,slowly
147,5242,33942,fcfLYgMDwn4_000024_000034,fcfLYgMDwn4,24.0,34.0,train,blow,slowly,A man sits outside and blows up an orange balloon slowly.,breathe,slowly
148,5245,33948,85IvAkdx9s0_000008_000018,85IvAkdx9s0,8.0,18.0,train,blow,slowly,A man is blowing a balloon in his room slowly,breathe,slowly
149,5248,33983,40Zp30_eucY_000018_000028,40Zp30_eucY,18.0,28.0,train,blow,slowly,A young boy slowly blows up a balloon and then holds it to speak.,breathe,slowly
150,6222,40619,5K2i3eE6Qik_000000_000010,5K2i3eE6Qik,0.0,10.0,train,blow,slowly,A teenage boy slowly blows a large bubble with gum.,breathe,slowly
151,9249,59992,BwQTcbldkEw_000000_000010,BwQTcbldkEw,0.0,10.0,train,blow,slowly,A snowplough truck is slowly blowing snow from the street.,breathe,slowly
152,10641,68842,4vN9UHxdy6Y_000005_000015,4vN9UHxdy6Y,5.0,15.0,train,blow,slowly,A boy is smoking a cigarette and is slowly blowing the smoke up in the air.,breathe,slowly
153,10643,68846,4vN9UHxdy6Y_000005_000015,4vN9UHxdy6Y,5.0,15.0,train,exhale,slowly,"A man sits in a vehicle, leans back and blows out smoke as he exhales slowly",breathe,slowly
154,10649,68870,idbPcXrNrTI_000000_000010,idbPcXrNrTI,0.0,10.0,train,exhale,slowly,A young woman inhales from a tube and then slowly exhales heavy smoke that swirls around and obscures her face.,breathe,slowly
155,963,6516,jIkizTTmX_U_000209_000219,jIkizTTmX_U,209.0,219.0,train,comb,carefully,a black women is getting her hair carefully combed by a man,brush,carefully
156,1056,7359,9l9tCLzCrtU_000005_000015,9l9tCLzCrtU,5.0,15.0,train,brush,carefully,A boy carefully brushes his mother's hair with a comb.,brush,carefully
